iter	Passed	Remaining
418	2604	16046
419	2610	16037
420	2617	16031
421	2622	16023
422	2628	16015
423	2634	16007
424	2640	15998
425	2646	15991
426	2652	15983
427	2658	15975
428	2664	15968
429	2670	15959
430	2676	15953
431	2682	15944
432	2688	15936
433	2693	15927
434	2699	15919
435	2706	15913
436	2711	15905
437	2717	15898
438	2723	15890
439	2730	15887
440	2737	15885
441	2744	15882
442	2750	15875
443	2756	15869
444	2762	15862
445	2769	15857
446	2775	15851
447	2781	15845
448	2787	15838
449	2793	15832
450	2800	15828
451	2806	15821
452	2812	15815
453	2819	15809
454	2825	15802
455	2831	15797
456	2837	15791
457	2844	15785
458	2850	15779
459	2856	15772
460	2862	15768
461	2869	15762
462	2875	15756
463	2881	15750
464	2887	15743
465	2894	15738
466	2900	15734
467	2907	15728
468	2913	15722
469	2919	15715
470	2925	15710
471	2932	15703
472	2937	15695
473	2943	15687
474	2949	15679
475	2955	15674
476	2962	15667
477	2968	15659
478	2973	15652
479	2979	15644
480	2986	15638
481	2991	15630
482	2997	15622
483	3003	15615
484	3009	15607
485	3016	15601
486	3022	15594
487	3028	15591
488	3035	15588
489	3042	15585
490	3049	15583
491	3056	15579
492	3062	15575
493	3068	15567
494	3074	15559
495	3080	15553
496	3086	15545
497	3092	15538
498	3098	15530
499	3104	15523
500	3111	15518
501	3117	15512
502	3123	15507
503	3129	15500
504	3136	15495
505	3142	15490
506	3148	15484
507	3155	15477
508	3161	15471
509	3167	15465
510	3174	15461
511	3180	15455
512	3187	15450
513	3193	15445
514	3199	15440
515	3206	15435
516	3212	15429
517	3219	15424
518	3225	15418
519	3231	15412
520	3238	15408
521	3244	15402
522	3250	15396
523	3257	15391
524	3263	15385
525	3270	15380
526	3276	15373
527	3282	15367
528	3289	15363
529	3295	15359
530	3302	15357
531	3309	15352
532	3315	15345
533	3321	15338
534	3327	15330
535	3333	15324
536	3339	15317
537	3345	15309
538	3352	15305
539	3358	15301
540	3365	15299
541	3372	15294
542	3378	15288
543	3384	15282
544	3391	15275
545	3397	15270
546	3403	15264
547	3410	15258
548	3416	15252
549	3422	15246
550	3429	15242
551	3435	15237
552	3442	15231
553	3448	15225
554	3454	15218
555	3460	15213
556	3466	15205
557	3472	15198
558	3479	15192
559	3485	15186
560	3491	15181
561	3498	15175
562	3504	15169
563	3511	15164
564	3517	15158
565	3523	15152
566	3529	15146
567	3536	15140
568	3542	15134
569	3548	15128
570	3555	15123
571	3561	15116
572	3567	15109
573	3573	15103
574	3579	15097
575	3586	15092
576	3592	15085
577	3598	15078
578	3604	15071
579	3610	15065
580	3616	15059
581	3623	15053
582	3629	15047
583	3635	15041
584	3642	15035
585	3648	15030
586	3655	15024
587	3661	15019
588	3667	15013
589	3674	15008
590	3681	15004
591	3687	14998
592	3693	14992
593	3700	14987
594	3706	14981
595	3713	14976
596	3719	14970
597	3725	14964
598	3731	14957
599	3737	14950
600	3744	14945
601	3750	14938
602	3756	14931
603	3762	14923
604	3768	14916
605	3774	14910
606	3780	14904
607	3786	14897
608	3792	14889
609	3798	14883
610	3805	14878
611	3811	14872
612	3817	14866
613	3823	14859
614	3829	14851
615	3835	14845
616	3842	14838
617	3848	14831
618	3854	14824
619	3860	14818
620	3866	14811
621	3872	14806
622	3879	14799
623	3884	14792
624	3891	14785
625	3897	14779
626	3903	14772
627	3909	14766
628	3915	14759
629	3921	14753
630	3928	14747
631	3934	14740
632	3940	14733
633	3946	14726
634	3952	14719
635	3958	14714
636	3964	14707
637	3970	14700
638	3976	14693
639	3982	14686
640	3988	14680
641	3995	14673
642	4000	14666
643	4006	14659
644	4012	14651
645	4019	14645
646	4025	14639
647	4031	14632
648	4037	14625
649	4043	14619
650	4050	14614
651	4056	14607
652	4062	14600
653	4068	14594
654	4074	14587
655	4080	14580
656	4086	14574
657	4092	14567
658	4099	14562
659	4105	14555
660	4111	14549
661	4117	14542
662	4123	14535
663	4129	14529
664	4135	14522
665	4142	14516
666	4148	14509
667	4154	14502
668	4160	14495
669	4166	14488
670	4172	14482
671	4178	14475
672	4184	14468
673	4190	14461
674	4196	14454
675	4202	14448
676	4208	14441
677	4214	14434
678	4220	14427
679	4226	14421
680	4233	14415
681	4239	14408
682	4245	14401
683	4251	14395
684	4257	14388
685	4263	14382
686	4269	14374
687	4275	14367
688	4281	14360
689	4287	14353
690	4293	14347
691	4299	14340
692	4305	14333
693	4311	14326
694	4317	14319
695	4323	14313
696	4330	14307
697	4335	14299
698	4341	14292
699	4347	14285
700	4353	14278
701	4359	14271
702	4365	14264
703	4371	14257
704	4377	14249
705	4383	14242
706	4389	14235
707	4394	14227
708	4400	14220
709	4406	14212
710	4412	14206
711	4418	14199
712	4424	14192
713	4430	14184
714	4436	14177
715	4442	14170
716	4448	14163
717	4454	14156
718	4459	14149
719	4465	14141
720	4471	14134
721	4477	14127
722	4483	14119
723	4489	14112
724	4495	14105
725	4501	14099
