iter	Logloss
0	0.5768040882
5	0.3816040625
10	0.3429479396
15	0.3261809873
20	0.3178978016
25	0.3137058518
30	0.3109345052
35	0.3088813637
40	0.307607142
45	0.3066183792
50	0.3059524157
55	0.3054548642
60	0.3050567704
65	0.3047327439
70	0.3044308354
75	0.3042053901
80	0.3040465324
85	0.303825499
90	0.3036803738
95	0.3035146499
100	0.303339547
105	0.3031859485
110	0.3030770827
115	0.3029423005
120	0.3027862185
125	0.302597617
130	0.3024758368
135	0.3023634063
140	0.3022398439
145	0.302131387
150	0.3020336532
155	0.3018948097
160	0.3017817073
165	0.3017065004
170	0.3016113961
175	0.3015264889
180	0.3014217136
185	0.3013571712
190	0.3012924244
195	0.3012275314
200	0.3011847272
205	0.3011227268
210	0.3010448612
215	0.3009746798
220	0.3008938339
225	0.3008346676
230	0.3007838285
235	0.3007380148
240	0.3007029533
245	0.3006449558
250	0.3005935615
255	0.3005313859
260	0.3004572308
265	0.3004030316
270	0.3003602274
275	0.3003196438
280	0.3002633117
285	0.3002100474
290	0.3001653733
295	0.3001230366
300	0.3000833002
305	0.300042103
310	0.3000047333
315	0.299956553
320	0.2998983217
325	0.2998612442
330	0.2998083014
335	0.2997600042
340	0.2997259654
345	0.2996974195
350	0.2996390421
355	0.2995971144
360	0.2995598908
365	0.2995291536
370	0.2994959329
375	0.2994698705
380	0.2994192651
385	0.2993848464
390	0.2993589302
395	0.2993266152
400	0.2992854179
405	0.2992501812
410	0.2992238558
415	0.299196654
420	0.2991598102
425	0.2991289269
430	0.2991051143
435	0.2990671018
440	0.2990401045
445	0.2990201487
450	0.2989906094
455	0.2989592001
460	0.298927265
465	0.2989040952
470	0.2988729197
475	0.2988419487
480	0.2988190127
485	0.2987975375
490	0.2987722348
495	0.298756574
500	0.298734719
505	0.2987143249
510	0.2986891683
515	0.2986515649
520	0.2986267297
525	0.298608673
530	0.2985815588
535	0.2985582722
540	0.2985319761
545	0.298511319
550	0.298490399
555	0.2984674045
560	0.2984427446
565	0.2984203053
570	0.2983962882
575	0.2983802475
