iter	Logloss
580	0.2983563765
585	0.2983398392
590	0.2983169324
595	0.2982886494
600	0.2982716446
605	0.2982574447
610	0.2982237565
615	0.2981988044
620	0.2981751087
625	0.2981611718
630	0.2981421801
635	0.2981191272
640	0.2980992298
645	0.2980830723
650	0.2980580034
655	0.2980373463
660	0.2980218024
665	0.2979944252
670	0.2979740311
675	0.2979535786
680	0.2979366907
685	0.2979180789
690	0.2978984737
695	0.2978802125
700	0.2978580361
705	0.2978424922
710	0.2978282631
715	0.297812427
720	0.2977970876
725	0.2977800243
730	0.2977675775
735	0.2977522673
740	0.2977316687
745	0.2977160079
750	0.2977028306
755	0.2976864978
760	0.2976644968
765	0.2976427294
770	0.2976216925
775	0.2976064992
780	0.2975804661
785	0.2975678147
790	0.2975526799
795	0.2975334837
800	0.2975183196
805	0.2975059897
810	0.2974875532
815	0.2974702562
820	0.2974515567
825	0.2974383502
830	0.2974246178
835	0.2974093953
840	0.2973904037
845	0.2973742462
850	0.2973578842
855	0.2973462262
860	0.2973253062
865	0.2973097915
870	0.2972937801
875	0.2972798724
880	0.2972629844
885	0.297247645
890	0.2972289164
895	0.2972144535
900	0.2972010133
905	0.2971820801
910	0.2971549074
915	0.2971412335
920	0.2971287282
925	0.2971124246
930	0.2970965301
935	0.2970844047
940	0.2970625789
945	0.2970505996
950	0.2970387079
955	0.2970272252
960	0.2970149829
965	0.2969996728
970	0.2969877226
975	0.2969743408
980	0.2969607253
985	0.2969489797
990	0.2969327053
995	0.2969222161
1000	0.2969072273
1005	0.2968934657
1010	0.2968819246
1015	0.2968714646
1020	0.2968601281
1025	0.2968498434
1030	0.2968268489
1035	0.2968126198
1040	0.2967997931
1045	0.2967874047
1050	0.2967753085
1055	0.2967641181
1060	0.2967471717
1065	0.2967318907
1070	0.2967233299
1075	0.2967123148
1080	0.2966928849
1085	0.2966817528
1090	0.2966701533
1095	0.2966560411
1100	0.2966413737
1105	0.2966275244
1110	0.2966173274
1115	0.296603069
1120	0.2965901255
1125	0.2965691179
1130	0.2965557653
1135	0.2965438736
1140	0.296525963
1145	0.2965173437
1150	0.2965046632
1155	0.2964939694
1160	0.2964812889
1165	0.2964724651
1170	0.2964606026
1175	0.2964497335
1180	0.2964391274
1185	0.2964317061
1190	0.2964168926
1195	0.2964068417
1200	0.2963954759
1205	0.2963808377
1210	0.2963710497
1215	0.2963577264
1220	0.2963479384
1225	0.2963367479
1230	0.2963154773
1235	0.2963033227
1240	0.296292512
1245	0.2962821689
1250	0.2962714459
1255	0.2962615995
1260	0.2962499123
1265	0.2962355371
1270	0.2962255446
1275	0.2962107604
1280	0.2961980214
1285	0.2961780655
1290	0.2961690372
1295	0.2961579052
1300	0.2961488769
1305	0.2961371897
1310	0.2961282782
1315	0.2961190454
1320	0.2961062772
1325	0.2960952328
1330	0.2960877822
1335	0.2960759198
1340	0.2960668038
1345	0.2960557302
1350	0.2960432834
1355	0.2960343427
1360	0.2960222757
1365	0.2960105593
1370	0.2960021446
1375	0.2959928533
1380	0.2959802604
1385	0.2959585807
1390	0.2959492018
1395	0.2959409039
1400	0.2959307361
1405	0.2959218246
1410	0.2959106634
1415	0.2958980997
1420	0.2958873183
1425	0.295877092
1430	0.2958680052
1435	0.2958543313
1440	0.2958454198
1445	0.2958334989
1450	0.295822922
1455	0.2958145365
1460	0.2958065892
1465	0.2957943177
1470	0.2957856984
1475	0.2957767285
1480	0.2957665315
1485	0.2957582628
1490	0.2957479781
1495	0.2957362325
1500	0.2957265614
1505	0.2957195491
1510	0.295710959
1515	0.2957035085
1520	0.2956883152
1525	0.295679579
1530	0.2956662557
1535	0.2956571981
1540	0.2956479653
1545	0.2956388201
1550	0.2956277173
